reporting_district,source_record_count,station_code
0565,708,PSB-89
0566,1502,PSB-128
0567,796,PSB-167
0569,328,PSB-146
0581,299,PSB-95
0583,341,PSB-738
0584,500,PSB-135
0585,1495,PSB-127-02
0587,891,PSB-100
0589,430,PSB-168
0599,21,PSB-111
0600,2,PSB-152
0615,796,PSB-112
0621,220,PSB-127-01
0622,1391,PSB-86
0625,801,PSB-741
0626,528,PSB-801
0627,507,PSB-109
0628,1029,PSB-107
0629,584,PSB-93
0631,371,PSB-152
0632,1543,PSB-123
0635,566,PSB-134
0636,3953,PSB-744
0637,1542,PSB-96
0638,1574,PSB-93
0639,1526,PSB-136
0642,796,PSB-79
0643,2343,PSB-85
0644,1567,PSB-88
0645,5025,PSB-743
0646,4426,PSB-127-02
0647,2917,PSB-132
0648,2049,PSB-93
0649,724,PSB-151-01
0656,1092,PSB-119
0657,1019,PSB-162
0659,732,PSB-795
0663,2196,PSB-123
0665,20,PSB-96
0666,2895,PSB-142
0667,1101,PSB-117
0668,2103,PSB-801
0669,1009,PSB-94
0672,1,PSB-776
0676,1093,PSB-163
0677,768,PSB-116
0678,1169,PSB-132
0679,446,PSB-99
0696,2,PSB-158
0697,1,PSB-119
0699,2,PSB-107
0700,2,PSB-123
0701,2004,PSB-744
0702,2018,PSB-97
0704,1,PSB-107
0705,800,PSB-134
0706,1016,PSB-800
0709,1,PSB-797
0711,1157,PSB-94
0713,579,PSB-96
0714,178,PSB-106
0715,191,PSB-83
0716,2,PSB-142
0717,293,PSB-118
0719,652,PSB-153
0721,2390,PSB-151-01
0722,2141,PSB-133
0723,1123,PSB-137
0724,2239,PSB-144
0725,270,PSB-131
0726,412,PSB-743
0727,580,PSB-97
0728,1,PSB-158
0729,377,PSB-94
0732,876,PSB-115
0733,389,PSB-144
0734,1623,PSB-801
0735,895,PSB-94
0736,1495,PSB-137
0737,742,PSB-799
0738,482,PSB-101
0739,158,PSB-147
0742,435,PSB-111
0743,926,PSB-740
0745,1415,PSB-160
0747,498,PSB-795
0749,876,PSB-128
0752,818,PSB-136
0753,657,PSB-165
0755,629,PSB-737
0756,2,PSB-154
0758,804,PSB-119
0759,1053,PSB-132
0762,1168,PSB-795
0763,652,PSB-743
0764,611,PSB-147
0765,2929,PSB-91
0766,270,PSB-737
0767,388,PSB-104
0768,1,PSB-123
0769,611,PSB-126
0771,1,PSB-150
0772,1,PSB-83
0773,541,PSB-92
0774,654,PSB-100
0775,748,PSB-744
0776,509,PSB-113
0777,386,PSB-140
0778,375,PSB-164
0779,379,PSB-798
0782,1430,PSB-124
0783,819,PSB-163
0784,719,PSB-147
0785,694,PSB-798
0787,213,PSB-128
0788,332,PSB-89
0789,606,PSB-108
0800,1,PSB-114
0801,169,PSB-112
0802,422,PSB-88
0803,206,PSB-103
0804,229,PSB-114
0805,639,PSB-128
0806,511,PSB-140
0807,413,PSB-91
0808,491,PSB-154
0809,247,PSB-140
0811,876,PSB-160
0812,235,PSB-738
0813,342,PSB-151-02
0814,194,PSB-798
0815,221,PSB-162
0816,295,PSB-105
0817,1425,PSB-133
0818,113,PSB-801
0819,261,PSB-135
0821,146,PSB-105
0822,525,PSB-126
0823,467,PSB-89
0824,490,PSB-128
0825,189,PSB-127-02
0826,229,PSB-801
0827,838,PSB-117
0828,481,PSB-90
0829,697,PSB-97
0831,1131,PSB-153
0832,1083,PSB-738
0833,1070,PSB-151-02
0834,786,PSB-101
0835,1488,PSB-147
0836,942,PSB-93
0837,163,PSB-737
0838,302,PSB-88
0839,2030,PSB-136
0841,1143,PSB-115
0842,1321,PSB-90
0843,8,PSB-158
0847,564,PSB-155
0848,174,PSB-161
0849,1412,PSB-739
0851,690,PSB-146
0852,2476,PSB-130
0853,1550,PSB-140
0854,227,PSB-85
0855,1238,PSB-100
0857,977,PSB-798
0858,464,PSB-142
0859,1264,PSB-163
0861,75,PSB-144
0871,58,PSB-109
0872,8,PSB-119
0881,1583,PSB-142
0882,1057,PSB-97
0883,391,PSB-79
0884,1356,PSB-93
0885,698,PSB-87
0886,362,PSB-100
0887,447,PSB-150
0889,1647,PSB-98
0891,183,PSB-154
0892,518,PSB-96
0893,623,PSB-127-02
0895,518,PSB-144
0896,161,PSB-138
0897,637,PSB-798
0898,953,PSB-91
0899,595,PSB-100
0900,1,PSB-127-01
0901,929,PSB-156
0902,1,PSB-795
0904,2372,PSB-163
0905,980,PSB-148
0906,1053,PSB-96
0909,1329,PSB-152
0911,1559,PSB-109
0914,2345,PSB-135
0915,1091,PSB-148
0916,637,PSB-111
0917,1,PSB-118
0919,809,PSB-129
0921,1,PSB-89
0922,2,PSB-167
0923,1965,PSB-87
0926,1821,PSB-797
0927,1,PSB-152
0929,387,PSB-142
0931,431,PSB-151-01
0932,995,PSB-136
0933,915,PSB-743
0934,3,PSB-113
0935,1406,PSB-89
0936,2,PSB-106
0937,471,PSB-136
0938,527,PSB-799
0939,804,PSB-80
0941,1902,PSB-146
0942,3,PSB-158
0943,1112,PSB-130
0944,1,PSB-151-01
0945,1,PSB-144
0946,979,PSB-801
0948,496,PSB-83
0952,1741,PSB-119
0955,251,PSB-132
0957,80,PSB-126
0958,2,PSB-152
0961,106,PSB-81
0963,1002,PSB-104
0964,2177,PSB-137
0966,647,PSB-156
0969,970,PSB-165
0971,1046,PSB-744
0974,1219,PSB-147
0976,194,PSB-159
0979,389,PSB-162
0981,763,PSB-143-01
0983,1,PSB-159
0984,469,PSB-801
0985,1686,PSB-163
0989,1356,PSB-117
0991,488,PSB-110
0994,362,PSB-92
0995,1,PSB-143-01
0998,599,PSB-142
1000,1,PSB-163
1001,1188,PSB-158
1003,1011,PSB-134
1004,965,PSB-129
1005,709,PSB-738
1006,505,PSB-118
1007,402,PSB-156
1008,1999,PSB-126
1009,118,PSB-87
1011,1305,PSB-161
1012,617,PSB-123
1013,1,PSB-142
1014,1,PSB-123
1015,1563,PSB-144
1016,1,PSB-798
1017,843,PSB-155
1018,1269,PSB-96
1019,274,PSB-153
1021,826,PSB-104
1022,1,PSB-89
1023,1317,PSB-101
1024,907,PSB-148
1025,1580,PSB-102
1027,701,PSB-740
1028,1029,PSB-131
1029,1249,PSB-740
1031,556,PSB-137
1032,4,PSB-161
1033,1120,PSB-86
1034,705,PSB-801
1035,1090,PSB-108
1036,1,PSB-118
1037,568,PSB-737
1039,1174,PSB-123
1041,684,PSB-104
1042,1,PSB-121
1043,1074,PSB-798
1044,729,PSB-140
1045,933,PSB-137
1046,2,PSB-151-01
1047,978,PSB-739
1048,1,PSB-107
1049,673,PSB-132
1053,1,PSB-795
1061,765,PSB-801
1063,1870,PSB-164
1065,1610,PSB-798
1067,1181,PSB-739
1068,83,PSB-164
1075,776,PSB-147
1077,432,PSB-163
1078,668,PSB-105
1079,807,PSB-737
1083,366,PSB-127-02
1087,1,PSB-85
1088,643,PSB-89
1089,339,PSB-148
1091,425,PSB-737
1094,402,PSB-105
1097,688,PSB-150
1098,44,PSB-139
1099,370,PSB-129
1100,1,PSB-162
1101,1245,PSB-125
1102,849,PSB-144
1105,304,PSB-795
1107,544,PSB-136
1109,676,PSB-91
1112,479,PSB-85
1113,805,PSB-744
1115,636,PSB-151-01
1116,285,PSB-137
1117,609,PSB-743
1118,534,PSB-148
1119,423,PSB-107
1122,49,PSB-799
1123,770,PSB-131
1124,1028,PSB-93
1125,448,PSB-97
1126,501,PSB-123
1127,512,PSB-798
1128,828,PSB-111
1129,739,PSB-91
1132,1247,PSB-741
1133,966,PSB-143-02
1134,803,PSB-100
1135,852,PSB-153
1136,1158,PSB-87
1137,484,PSB-161
1138,472,PSB-117
1139,591,PSB-86
1141,1165,PSB-142
1142,1273,PSB-162
1143,991,PSB-144
1144,824,PSB-159
1145,1108,PSB-125
1146,345,PSB-138
1147,720,PSB-123
1148,843,PSB-107
1149,778,PSB-85
1151,1575,PSB-95
1152,768,PSB-148
1153,218,PSB-96
1157,74,PSB-143-01
1158,526,PSB-87
1159,125,PSB-165
1161,409,PSB-158
1162,2295,PSB-168
1163,505,PSB-737
1169,386,PSB-109
1171,988,PSB-100
1172,1075,PSB-166
1173,479,PSB-151-02
1174,125,PSB-91
1175,64,PSB-99
1176,490,PSB-84
1177,1039,PSB-742
1178,387,PSB-165
1179,408,PSB-741
1181,1092,PSB-128
1183,1035,PSB-143-01
1184,678,PSB-136
1185,76,PSB-98
1186,167,PSB-79
1189,488,PSB-141
1195,532,PSB-738
1199,62,PSB-110
1200,1,PSB-127-01
1203,1709,PSB-112
1204,896,PSB-134
1205,910,PSB-104
1207,842,PSB-140
1208,1122,PSB-136
1209,460,PSB-160
1211,1660,PSB-741
1213,1826,PSB-153
1215,1737,PSB-117
1218,1765,PSB-86
1219,352,PSB-116
1231,879,PSB-168
1232,1371,PSB-107
1233,1712,PSB-108
1235,1102,PSB-147
1239,2967,PSB-129
1241,2615,PSB-795
1242,722,PSB-142
1243,1952,PSB-134
1245,2194,PSB-159
1248,1286,PSB-167
1249,2406,PSB-152
1251,1663,PSB-116
1252,760,PSB-86
1253,1269,PSB-744
1255,1180,PSB-126
1256,2008,PSB-99
1257,1509,PSB-100
1258,2026,PSB-143-02
1259,2258,PSB-88
1263,1431,PSB-164
1265,2123,PSB-148
1266,2042,PSB-95
1267,2263,PSB-102
1268,2363,PSB-740
1269,2728,PSB-93
1273,1871,PSB-127-02
1283,1521,PSB-744
1293,255,PSB-100
1300,2,PSB-799
1303,1586,PSB-89
1307,1622,PSB-738
1309,2323,PSB-742
1311,138,PSB-100
1313,2651,PSB-126
1317,2046,PSB-131
1321,2192,PSB-138
1322,810,PSB-96
1323,1178,PSB-109
1324,649,PSB-95
1325,515,PSB-744
1326,188,PSB-82
1327,482,PSB-81
1331,1899,PSB-115
1333,1612,PSB-85
1341,1222,PSB-99
1342,881,PSB-91
1343,1111,PSB-165
1344,664,PSB-130
1345,832,PSB-162
1346,887,PSB-129
1347,1147,PSB-93
1351,1588,PSB-742
1352,1165,PSB-744
1353,1245,PSB-135
1354,647,PSB-152
1361,1429,PSB-801
1362,1242,PSB-127-02
1363,962,PSB-97
1364,707,PSB-739
1365,785,PSB-137
1367,1435,PSB-94
1371,1129,PSB-104
1372,1014,PSB-88
1373,1075,PSB-740
1375,878,PSB-102
1377,900,PSB-89
1381,382,PSB-95
1383,1376,PSB-105
1385,1341,PSB-114
1391,558,PSB-98
1393,951,PSB-152
1394,704,PSB-741
1395,1023,PSB-795
1400,6,PSB-157
1401,490,PSB-165
1402,450,PSB-95
1403,422,PSB-127-02
1405,93,PSB-143-02
1406,1465,PSB-795
1407,1627,PSB-148
1408,23,PSB-128
1409,1162,PSB-95
1411,217,PSB-742
1412,2232,PSB-140
1413,1093,PSB-151-01
1414,1237,PSB-143-02
1415,1173,PSB-737
1416,385,PSB-97
1424,410,PSB-795
1425,479,PSB-153
1426,145,PSB-92
1427,628,PSB-144
1428,895,PSB-164
1431,2445,PSB-165
1432,878,PSB-118
1433,574,PSB-798
1434,642,PSB-131
1435,952,PSB-117
1436,160,PSB-800
1437,742,PSB-117
1438,800,PSB-154
1441,1406,PSB-798
1443,896,PSB-127-01
1444,1610,PSB-739
1445,919,PSB-147
1446,643,PSB-738
1449,445,PSB-96
1451,33,PSB-127-01
1452,956,PSB-128
1453,1212,PSB-102
1454,1264,PSB-151-01
1455,684,PSB-118
1456,541,PSB-151-01
1457,592,PSB-738
1458,548,PSB-168
1459,228,PSB-111
1462,46,PSB-152
1463,978,PSB-89
1464,1433,PSB-134
1465,587,PSB-131
1466,504,PSB-129
1467,717,PSB-95
1468,422,PSB-157
1469,2598,PSB-134
1471,93,PSB-116
1472,591,PSB-105
1473,612,PSB-151-02
1474,525,PSB-95
1475,406,PSB-86
1476,297,PSB-798
1477,451,PSB-94
1479,579,PSB-158
1483,1704,PSB-79
1484,93,PSB-135
1485,597,PSB-79
1486,59,PSB-140
1487,790,PSB-94
1488,2338,PSB-127-01
1489,435,PSB-131
1491,110,PSB-148
1492,32,PSB-114
1493,136,PSB-156
1494,5369,PSB-739
1495,730,PSB-100
1496,1223,PSB-742
1497,717,PSB-743
1498,65,PSB-107
1499,474,PSB-742
1501,693,PSB-744
1502,458,PSB-138
1503,1035,PSB-98
1504,883,PSB-87
1505,1168,PSB-159
1506,972,PSB-159
1508,178,PSB-776
1509,240,PSB-89
1511,424,PSB-129
1512,717,PSB-131
1513,859,PSB-95
1514,592,PSB-89
1515,786,PSB-90
1516,651,PSB-117
1517,567,PSB-116
1519,814,PSB-169
1521,648,PSB-800
1522,933,PSB-126
1523,784,PSB-128
1524,494,PSB-80
1525,1565,PSB-97
1526,1525,PSB-159
1527,1180,PSB-140
1529,687,PSB-737
1531,587,PSB-165
1532,1188,PSB-738
1533,296,PSB-84
1535,1059,PSB-124
1537,1,PSB-126
1538,1103,PSB-111
1539,833,PSB-148
1541,393,PSB-112
1542,2,PSB-89
1543,1142,PSB-84
1544,517,PSB-146
1545,1192,PSB-148
1546,492,PSB-167
1547,794,PSB-141
1548,2668,PSB-125
1549,2511,PSB-86
1551,111,PSB-739
1553,597,PSB-124
1555,2836,PSB-95
1557,1454,PSB-148
1558,1,PSB-152
1559,278,PSB-134
1562,533,PSB-739
1563,618,PSB-104
1565,252,PSB-743
1566,726,PSB-133
1567,538,PSB-163
1569,544,PSB-88
1581,853,PSB-130
1583,906,PSB-738
1585,1785,PSB-111
1586,500,PSB-105
1587,118,PSB-741
1588,149,PSB-151-02
1589,415,PSB-147
1591,1598,PSB-737
1595,734,PSB-151-02
1596,769,PSB-93
1599,1160,PSB-134
1600,1,PSB-151-01
1601,655,PSB-147
1602,1219,PSB-800
1603,32,PSB-744
1605,379,PSB-125
1606,428,PSB-102
1608,207,PSB-136
1611,444,PSB-744
1612,1370,PSB-142
1613,693,PSB-114
1614,29,PSB-155
1615,205,PSB-95
1617,631,PSB-143-02
1618,256,PSB-144
1619,254,PSB-94
1621,880,PSB-800
1622,853,PSB-165
1623,792,PSB-106
1633,671,PSB-742
1634,149,PSB-88
1635,65,PSB-117
1636,266,PSB-107
1637,662,PSB-125
1638,643,PSB-88
1639,63,PSB-84
1641,753,PSB-126
1642,379,PSB-118
1643,515,PSB-740
1645,413,PSB-132
1646,1,PSB-128
1648,1,PSB-158
1651,1186,PSB-801
1653,747,PSB-737
1654,993,PSB-147
1655,276,PSB-165
1656,976,PSB-105
1657,803,PSB-91
1658,441,PSB-798
1659,411,PSB-128
1661,159,PSB-168
1663,1279,PSB-82
1664,405,PSB-801
1665,338,PSB-143-01
1666,1,PSB-113
1667,311,PSB-168
1668,582,PSB-127-01
1669,208,PSB-113
1671,2,PSB-85
1672,308,PSB-81
1673,72,PSB-89
1675,1069,PSB-737
1676,595,PSB-148
1677,487,PSB-132
1678,111,PSB-738
1679,125,PSB-132
1681,1026,PSB-127-02
1682,300,PSB-136
1683,2,PSB-142
1684,1640,PSB-740
1685,834,PSB-114
1686,1,PSB-139
1687,953,PSB-132
1689,300,PSB-744
1691,211,PSB-744
1693,522,PSB-100
1695,657,PSB-110
1698,653,PSB-142
1699,236,PSB-148
1700,1,PSB-142
1701,1485,PSB-121
1703,132,PSB-160
1705,338,PSB-801
1707,235,PSB-739
1708,703,PSB-92
1709,191,PSB-151-01
1712,387,PSB-135
1713,217,PSB-142
1714,301,PSB-139
1715,406,PSB-89
1716,354,PSB-132
1717,304,PSB-96
1718,357,PSB-147
1719,40,PSB-797
1721,471,PSB-148
1722,625,PSB-109
1723,854,PSB-86
1725,198,PSB-795
1727,396,PSB-738
1728,372,PSB-93
1729,881,PSB-151-02
1732,1,PSB-118
1735,966,PSB-737
1736,1,PSB-89
1737,742,PSB-152
1738,273,PSB-155
1739,105,PSB-146
1743,319,PSB-800
1745,1300,PSB-106
1747,817,PSB-798
1749,546,PSB-102
1751,791,PSB-161
1752,1153,PSB-146
1753,421,PSB-137
1754,546,PSB-162
1755,173,PSB-101
1756,677,PSB-115
1757,549,PSB-147
1758,334,PSB-98
1759,292,PSB-130
1761,955,PSB-96
1762,865,PSB-139
1763,151,PSB-166
1764,3099,PSB-798
1765,123,PSB-740
1766,206,PSB-169
1767,1168,PSB-96
1768,265,PSB-93
1771,350,PSB-743
1772,316,PSB-133
1773,28,PSB-742
1774,47,PSB-153
1775,294,PSB-86
1776,358,PSB-126
1777,500,PSB-130
1778,58,PSB-97
1779,451,PSB-164
1781,1360,PSB-131
1782,1077,PSB-89
1783,479,PSB-134
1784,1,PSB-798
1785,1443,PSB-155
1787,729,PSB-109
1788,612,PSB-119
1791,977,PSB-81
1792,650,PSB-795
1793,909,PSB-136
1794,1650,PSB-143-01
1795,1034,PSB-118
1796,639,PSB-97
1797,699,PSB-138
1798,489,PSB-91
1799,507,PSB-115
1801,2311,PSB-800
1802,2683,PSB-136
1803,592,PSB-95
1804,1506,PSB-138
1805,596,PSB-160
1806,952,PSB-744
1821,2103,PSB-91
1822,3221,PSB-801
1823,2211,PSB-109
1824,2001,PSB-158
1826,1749,PSB-169
1827,1527,PSB-104
1829,1401,PSB-129
1831,1296,PSB-141
1832,1372,PSB-165
1834,1373,PSB-113
1835,397,PSB-739
1836,956,PSB-150
1837,1635,PSB-135
1838,569,PSB-128
1839,553,PSB-94
1841,2123,PSB-129
1842,2746,PSB-131
1844,2140,PSB-107
1846,1672,PSB-743
1849,1762,PSB-105
1851,760,PSB-105
1861,1046,PSB-126
1862,1845,PSB-110
1863,1513,PSB-125
1864,803,PSB-132
1871,840,PSB-109
1881,1078,PSB-79
1891,597,PSB-135
1901,466,PSB-124
1902,946,PSB-142
1903,38,PSB-96
1904,497,PSB-127-02
1905,385,PSB-134
1906,376,PSB-117
1907,514,PSB-741
1908,494,PSB-796
1909,329,PSB-151-01
1911,139,PSB-130
1912,433,PSB-118
1913,800,PSB-118
1915,517,PSB-131
1916,644,PSB-801
1917,769,PSB-743
1918,1170,PSB-91
1919,256,PSB-147
1921,945,PSB-151-01
1924,1086,PSB-801
1925,613,PSB-740
1931,160,PSB-131
1934,137,PSB-743
1935,325,PSB-124
1936,183,PSB-167
1941,209,PSB-157
1942,2,PSB-798
1943,367,PSB-737
1944,543,PSB-743
1945,190,PSB-80
1951,316,PSB-160
1952,373,PSB-85
1954,1080,PSB-739
1955,230,PSB-152
1956,200,PSB-150
1958,760,PSB-130
1959,637,PSB-81
1961,913,PSB-135
1962,1167,PSB-92
1963,564,PSB-127-02
1964,742,PSB-118
1966,729,PSB-124
1967,721,PSB-163
1969,564,PSB-91
1971,597,PSB-133
1972,812,PSB-103
1974,1016,PSB-168
1975,384,PSB-166
1977,703,PSB-159
1979,210,PSB-104
1981,1257,PSB-104
1982,747,PSB-129
1983,1250,PSB-118
1984,1401,PSB-91
1985,2424,PSB-117
1986,1,PSB-114
1987,753,PSB-97
1988,595,PSB-166
1989,173,PSB-108
1991,787,PSB-127-02
1993,528,PSB-125
1994,830,PSB-89
1995,770,PSB-742
1996,1,PSB-119
1998,1402,PSB-737
1999,1172,PSB-129
2001,881,PSB-146
2002,944,PSB-95
2004,881,PSB-132
2005,780,PSB-95
2011,1015,PSB-102
2013,737,PSB-132
2014,898,PSB-85
2015,894,PSB-798
2016,565,PSB-152
2017,774,PSB-143-02
2019,2006,PSB-128
2021,734,PSB-127-02
2022,1457,PSB-151-02
2023,1252,PSB-136
2024,1990,PSB-118
2025,803,PSB-740
2026,1140,PSB-110
2027,2042,PSB-104
2029,3105,PSB-148
2031,1094,PSB-169
2033,2009,PSB-100
2034,1059,PSB-160
2035,795,PSB-83
2036,943,PSB-131
2038,847,PSB-93
2039,886,PSB-96
2041,682,PSB-85
2042,832,PSB-738
2044,792,PSB-135
2045,589,PSB-138
2046,615,PSB-136
2049,847,PSB-147
2053,645,PSB-148
2054,554,PSB-800
2055,906,PSB-801
2056,980,PSB-738
2058,697,PSB-96
2062,1223,PSB-128
2063,517,PSB-93
2064,419,PSB-103
2069,1586,PSB-132
2071,926,PSB-741
2073,310,PSB-142
2074,749,PSB-136
2076,1042,PSB-142
2079,753,PSB-798
2081,913,PSB-795
2083,409,PSB-740
2088,822,PSB-151-01
2091,310,PSB-97
2093,461,PSB-152
2097,467,PSB-738
2099,493,PSB-82
2101,134,PSB-133
2102,196,PSB-163
2103,641,PSB-93
2104,381,PSB-744
2105,860,PSB-110
2106,150,PSB-102
2107,647,PSB-168
2111,440,PSB-100
2113,395,PSB-130
2114,477,PSB-159
2115,624,PSB-91
2118,568,PSB-129
2125,590,PSB-121
2126,889,PSB-737
2128,698,PSB-135
2129,569,PSB-118
2131,52,PSB-121
2132,220,PSB-97
2133,529,PSB-89
2134,878,PSB-124
2136,1566,PSB-168
2137,802,PSB-796
2138,711,PSB-148
2139,946,PSB-163
2141,594,PSB-801
2142,468,PSB-797
2143,1746,PSB-103
2144,574,PSB-744
2145,576,PSB-139
2146,1607,PSB-127-01
2147,485,PSB-106
2148,588,PSB-85
2149,674,PSB-126
2155,1283,PSB-154
2156,4144,PSB-118
2157,2348,PSB-741
2158,2060,PSB-798
2159,197,PSB-118
2161,411,PSB-119
2162,242,PSB-117
2169,245,PSB-109
2172,306,PSB-104
2173,480,PSB-743
2175,1181,PSB-89
2177,1505,PSB-118
2183,735,PSB-125
2185,793,PSB-776
2187,1482,PSB-743
2189,1978,PSB-795
2196,476,PSB-127-01
2197,185,PSB-796
2198,37,PSB-123
2199,2,PSB-153
